Open Time,Open,High,Low,Close,Volume,SMA_20,EMA_12,BB_High,BB_Low,RSI_14,MACD,MACD_Signal
2024-11-08,75857.89,77199.99,75555.0,76509.78,36521.099583,69932.9505,71896.40104853956,76087.66811129617,63778.232888703846,77.53217450061142,1393.1543408453144,604.4057193062426
2024-11-09,76509.78,76900.0,75714.66,76677.46,16942.07915,70315.224,72631.94857953346,77146.83204299484,63483.61595700517,77.94450524316849,1671.352739075839,817.795123260162
2024-11-10,76677.46,81500.0,76492.0,80370.01,61830.100435,70964.8495,73822.41956729755,78987.38169708349,62942.317302916505,84.95853757243657,2164.830085392343,1087.2021156865983
2024-11-11,80370.01,89530.54,80216.01,88647.99,82323.665776,72025.949,76103.27655694408,83108.09412518109,60943.8038748189,91.74731973359324,3187.1388885133492,1507.1894702519485
2024-11-12,88648.0,89940.0,85072.0,87952.01,97299.887911,73090.117,77926.15862510653,85950.9585333222,60229.27546667779,87.89870379205381,3896.252635818819,1985.0021033653227
2024-11-13,87952.0,93265.64,86127.99,90375.2,86763.854127,74198.963,79841.39575970553,88966.70273039899,59431.223269601025,89.64390611610494,4600.727251105796,2508.1471329134174
2024-11-14,90375.21,91790.0,86668.21,87325.59,56729.51086,75230.326,80992.81025821237,90658.82865804296,59801.82334195705,74.12138797392606,4856.962379879289,2977.910182306592
2024-11-15,87325.59,91850.0,87073.38,91032.07,47927.95068,76427.2915,82537.31175694893,92878.2035057682,59976.37949423182,79.17771406643817,5298.040017751628,3441.9361493955994
2024-11-16,91032.08,91779.66,90056.17,90586.92,22717.87689,77555.5525,83775.71302511063,94661.32902978499,60449.77597021502,77.09040366064869,5547.726599927948,3863.0942395020693
2024-11-17,90587.98,91449.99,88722.0,89855.99,23867.55609,78550.2415,84711.14025201669,96104.60724277425,60995.87575722576,73.42320261926977,5621.820228699391,4214.839437341534
2024-11-18,89855.98,92594.0,89376.9,90464.08,46545.03448,79436.6245,85596.20790555258,97536.7284538399,61336.520546160114,74.58380872448203,5664.313069147669,4504.734163702761
2024-11-19,90464.07,93905.51,90357.0,92310.79,43660.04682,80434.927,86629.22053546757,99082.24953304407,61787.60446695592,77.95693724434804,5780.3705017593165,4759.861431314072
2024-11-20,92310.8,94831.97,91500.0,94286.56,42203.198712,81634.65449999999,87807.27276078025,100618.7729531575,62650.53604684248,81.05998420360596,5963.036803642972,5000.496505779853
2024-11-21,94286.56,98988.0,94040.0,98317.12,69228.360477,83075.70999999999,89424.17233604484,102549.3614275945,63602.05857240549,85.77387846012954,6359.722746102911,5272.341753844465
2024-11-22,98317.12,99588.01,97122.11,98892.0,46189.309243,84551.573,90880.76120742255,104126.98584455001,64976.160155449994,86.33365116402493,6643.900475994844,5546.653498274542
2024-11-23,98892.0,98908.85,97136.0,97672.4,24757.84367,85996.39349999999,91925.62871397292,104924.0769281589,67068.71007184108,78.74863740465922,6693.542851539867,5776.031368927607
2024-11-24,97672.4,98564.0,95734.77,97900.04,31200.97838,87498.89499999999,92844.76891182324,105084.63713456788,69913.1528654321,79.14327766787251,6674.316076237083,5955.6883103895025
2024-11-25,97900.05,98871.8,92600.19,93010.01,50847.45096,88680.795,92870.19061769659,104191.93006350366,73169.65993649633,54.197198270402026,6193.103918079767,6003.171431927556
2024-11-26,93010.01,94973.37,90791.1,91965.16,57858.73138,89500.45349999999,92730.95513805095,103778.42483492492,75222.48216507505,50.28920866419262,5662.159305072419,5934.969006556529
2024-11-27,91965.16,97208.21,91792.14,95863.11,41153.42734,90500.7145,93212.82511681234,103500.23374914713,77501.19525085288,62.06410561440153,5492.598604795174,5846.494926204258
2024-11-28,95863.11,96564.0,94640.0,95643.98,28814.54357,91457.4245,93586.84894499506,102836.9229600025,80077.92603999749,61.12494813088679,5279.677730164345,5733.131486996275
2024-11-29,95643.99,98619.99,95364.99,97460.0,27701.78231,92496.5515,94182.71833807274,101799.40384442196,83193.69915557804,66.03905289196496,5197.5598058220785,5626.017150761436
2024-11-30,97460.0,97463.95,96092.01,96407.99,14503.83306,93298.4505,94525.06782452308,100788.30392473539,85808.59707526462,60.89394280120899,4990.0699242909905,5498.827705467347
2024-12-01,96407.99,97836.0,95693.88,97185.18,16938.60452,93725.31,94934.31585151954,101070.92449155964,86379.69550844036,63.32932949706706,4832.637795749077,5365.5897235236935
2024-12-02,97185.17,98130.0,94395.0,95840.62,37958.66981,94119.7405,95073.74725897808,100992.00027310454,87247.48072689546,56.327016258418055,4546.9623925239575,5201.864257323747
2024-12-03,95840.61,96305.52,93578.17,95849.69,35827.32283,94393.465,95193.12306528914,101071.08548741601,87715.84451258398,56.36456980109999,4272.048929683471,5015.901191795692
2024-12-04,95849.69,99000.0,94587.83,98587.32,43850.53728,94956.5515,95715.30720909081,100993.24033869045,88919.86266130955,66.42059613879672,4226.363009455934,4857.993555327741
2024-12-05,98587.32,104088.0,90500.0,96945.63,109921.729662,95252.22949999999,95904.58763846147,101054.298573478,89450.16042652198,57.28580778152369,4011.4444906513963,4688.683742392473
2024-12-06,96945.63,101898.99,95981.72,99740.84,45049.5331,95709.9255,96494.78030946739,101405.66398463267,90014.18701536732,66.37176997312065,4020.3262837173097,4555.01225065744
2024-12-07,99740.84,100439.18,98844.0,99831.99,14931.9459,96208.7255,97008.19718493395,101477.17481363854,90940.27618636146,66.63878196377328,3988.740494424608,4441.7578994108735
2024-12-08,99831.99,101351.0,98657.7,101109.59,14612.99688,96741.001,97639.18069494411,101708.1526369886,91773.84936301141,70.43530698036938,4020.454870398433,4357.497293608386
2024-12-09,101109.6,101215.93,94150.05,97276.47,53949.11595,96989.285,97583.37904956809,101499.43464695835,92479.13535304165,50.529006815865316,3693.709212025802,4224.739677291869
2024-12-10,97276.48,98270.0,94256.54,96593.0,51708.68933,97104.607,97431.01304194223,101438.27501808749,92770.93898191252,47.75242475505607,3341.0965256993804,4048.011046973372
2024-12-11,96593.0,101888.0,95658.24,101125.0,37753.78291,97245.001,97999.31872779728,101913.08717218039,92576.91482781962,63.21693116016445,3388.2849164613,3916.065820870958
2024-12-12,101125.0,102540.0,99311.64,100004.29,29232.08745,97300.61549999999,98307.7758465977,102076.5771513954,92524.65384860458,58.29377767476984,3297.241576842149,3792.300972065196
2024-12-13,100004.29,101895.26,99205.0,101424.25,21904.03923,97488.208,98787.23340865958,102608.0129902855,92368.4030097145,62.55676551724819,3301.609084811862,3694.1625946145296
2024-12-14,101424.24,102650.0,100609.41,101420.0,14191.70326,97664.20599999999,99192.27442271195,103077.22717652343,92251.18482347655,62.5346908089588,3267.066715445544,3608.7434187807326
2024-12-15,101420.0,105250.0,101237.14,104463.99,22228.921775,98236.905,100003.30758844859,103989.60927705282,92484.20072294718,70.9936355079565,3445.597489127831,3576.1142328501523
